初时间,标题,log描述,done描述,doing 描述,对象-人（引用）,对象标签,完成时间,持续时间（整数）,行动描述,父记录,父记录 2
2026/03/20 14:06,,5min,,保守倾向 和冒险选择。,,,2026/03/20 14:37,31.0,,,
2026/03/20 10:54,,,,,,,2026/03/20 11:50,56.0,,,
2026/03/20 10:26,投递简历,5个10min,投5个,,,,2026/03/20 10:53,27.0,,,
2026/03/20 10:15,外界触发思考,,如果offer=0，准备面试。,,,,2026/03/20 10:26,11.0,,,
2026/03/20 09:08,发散思考,20min,继续编写0.2版本。,"建立了2个需求文档0,1版本。",,,2026/03/20 09:32,24.0,,,
2026/03/20 08:59,,如何对大需求的实现进行连续关注和拆分，比如任务的实现是一开始不确定的，或者连续重复一个小任务。框架怎么建立，已有的需求层和task层。,,,,,2026/03/20 09:05,6.0,,,
2026/03/19 18:30,物理移动,,,,,,2026/03/19 19:45,75.0,,,
2026/03/19 17:18,投递简历,5个10min,,,,,2026/03/19 17:42,24.0,,,
2026/03/19 15:26,,"核心是这么几个问题。啊第1个是嗯，你觉得自己的缺点是什么？啊自我批评。嗯。
2、 Um, 你的ppt能力怎么样？
3、对于外包这种形式，你怎么看待
嗯还有就是围绕着稳定性所展开的一系列问题。",,和chatgpt聊天5min。,,,2026/03/19 15:50,24.0,,,2026/03/19 15:02
2026/03/19 14:45,投递简历,5份，10min,,商务知识，考勤管理，,,,2026/03/19 14:56,11.0,,,
2026/03/19 13:51,,回顾面试，状态表现和面试问题角度。,闭眼休息，躁动,看短视频,,,2026/03/19 14:45,54.0,,,
2026/03/19 11:45,,物理移动,,食堂吃饭,,,2026/03/19 13:35,110.0,,,
2026/03/19 11:00,,骑行探索,,,,,2026/03/19 11:41,41.0,,,
2026/03/19 10:00,线下面试,先是一个人接待面试，主面试官接力。已完成总结，用录音记录下了。,,,,,2026/03/19 10:50,50.0,,,
2026/03/19 08:20,,,,,,,2026/03/19 09:40,80.0,,,
2026/03/18 20:12,,,,,,锻炼,2026/03/18 20:41,29.0,,,
2026/03/18 19:35,,学习讲故事，20min,,看视频,,,2026/03/18 20:12,37.0,,,
2026/03/18 17:38,,引体向上，总是感觉到累。像那种无力的累。是，单组大概也就四五个，然后休息。,,,,锻炼,2026/03/18 18:15,37.0,,,
2026/03/18 16:30,面试问题口头练习,分别是如何啊项目管理、交付。以及呃，需求的管理。分别是读一遍。看一遍，默读一遍。,,"1、稳定性
2、自我特质分析",,,2026/03/18 17:37,67.0,,,
2026/03/18 15:00,发散思考,"什么是学习   ，为什么没有在学习？学习的阻力是什么
也可以回答 为什么过去头胀。为什么当初躯体化症状明显还一直在书桌前，看题做题。这是费脑，为什么我和他人的表现如此不同。也就是异常。
是做题嘛？是持续的思考嘛？为什么我的思考那么费劲？大脑的能量基础也是线粒体嘛？",抽空和网友聊了天，太热情像骗子。,这里我已经很有体会。从在学校的5，6年就有次体会。后来备考研究生入学也是。,,,2026/03/18 15:35,35.0,,,
2026/03/18 14:35,"购买脱口秀，确定计划。
2、惠州行计划",,完成购买。,,,,2026/03/18 14:55,20.0,,,
2026/03/18 11:23,思维和执行管理,通过云表格技术,3层理论。,如何用技术实现 本质的思维，动力和执行管理。这是很大范围的思考。,,,2026/03/18 11:55,32.0,,,
2026/03/18 10:55,投递简历,10个，10min。,投了5个,,,,2026/03/18 11:06,11.0,,,
2026/03/18 09:58,,1、我来复盘昨天的面试,1、建立一个自学的蓝图v0.1版本。,1、自己的能力学习要建立项目。要有案例，场景支持。我来切分它，当然问题不在于本事困难。而是我的状态。这里有很多的思维路要扩展。包括过去的创伤和现在的硬件缺陷。,,,2026/03/18 10:27,29.0,,,
2026/03/18 09:39,口头表达练习,10min，自我介绍和离职原因,,,,,2026/03/18 09:54,15.0,,,
2026/03/18 09:10,,,保加利亚蹲和双臂屈伸。不搞挑战咬牙，可能会影响早上接下来的认知行动,,,锻炼,2026/03/18 09:32,22.0,,,
2026/03/17 20:36,游戏20min,,,学rapper，做拳击莱美,,,2026/03/17 21:30,54.0,,,
2026/03/17 17:00,物理移动,,,,,,2026/03/17 18:10,70.0,,,
